   pt,ijgcm,DOY,time,lat,lon,veg,Ts,litter_unprotect(LABILE),litter_unprotect(RECALCTRNT),litter_unprotect(DEADMICRB),litter_protect(LABILE),litter_protect(RECALCTRNT),litter_protect(DEADMICRB),litter_livingMicrobe,litter_CO2,soil_unprotect(1.LABILE),soil_unprotect(1.slow),soil_unprotect(1.DEADMICRB),soil_protect(1.LABILE),soil_protect(1.RECALCTRNT),soil_protect(1.DEADMICRB),soil_livingMicrobe,soil_CO2
     1,     1,   365, 82.0000, 40.8100,255.2400,    10,        271.874161,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.110244,          4.390032,          0.057596,          0.907682,          0.539323,          3.607714,          0.040314,         17.913083,
     1,     1,   365, 83.0000, 40.8100,255.2400,    10,        271.589888,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.129531,          4.387147,          0.060692,          0.909128,          0.544849,          3.646123,          0.022338,         18.186686,
     1,     1,   365, 84.0000, 40.8100,255.2400,    10,        271.239356,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.094658,          4.344822,          0.063383,          0.912364,          0.550301,          3.681654,          0.043365,         18.541982,
     1,     1,   365, 85.0000, 40.8100,255.2400,    10,        270.006156,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.121327,          4.368483,          0.060513,          0.915629,          0.555629,          3.723785,          0.040761,         18.819567,
     1,     1,   365, 86.0000, 40.8100,255.2400,    10,        275.302215,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.117319,          4.357632,          0.063309,          0.917399,          0.560884,          3.764615,          0.033852,         19.144152,
     1,     1,   365, 87.0000, 40.8100,255.2400,    10,        272.596499,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.135519,          4.344247,          0.064776,          0.918806,          0.566010,          3.803659,          0.026692,         19.474834,
     1,     1,   365, 88.0000, 40.8100,255.2400,    10,        274.164612,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.138531,          4.395761,          0.062342,          0.930292,          0.571223,          3.843773,          0.044970,         19.689260,
     1,     1,   365, 89.0000, 40.8100,255.2400,    10,        274.401982,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.154701,          4.426117,          0.067443,          0.936113,          0.576417,          3.889173,          0.023758,         19.935622,
     1,     1,   365, 90.0000, 40.8100,255.2400,    10,        274.768949,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.165371,          4.464586,          0.068802,          0.944456,          0.581651,          3.933349,          0.026508,         20.192888,
     1,     1,   365, 91.0000, 40.8100,255.2400,    10,        274.095315,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.140934,          4.502477,          0.063666,          0.959438,          0.587001,          3.975766,          0.047282,         20.396794,
