ijcam,lat,lon,ivt_igbp,ist,iso,landarea,Ndep,Nfix,Pwea, Pdust,doyP1,doyP2,doyP3,doyP4,Phase(1),ivcasa,ilat,ilo
   352,  29.37,   7.50, 16,-99,-99,    51042107392.0000, 0.01971, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  64,   4,
   353,  31.26,   7.50, 16,-99,-99,    50064498688.0000, 0.02285, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  65,   4,
   354,  33.16,   7.50, 16,-99,-99,    49032142848.0000, 0.02826, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  66,   4,
   355,  35.05,   7.50, 14,-99,-99,    47946174464.0000, 0.06295, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  67,   4,
   356,  36.95,   7.50, 17,-99,-99,    26990383104.0000, 0.10725, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  68,   4,
   357,  38.84,   7.50, 17,-99,-99,     1081350400.0000, 0.07902, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  69,   4,
   358,  40.74,   7.50, 17,-99,-99,     2399605504.0000, 0.09035, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  70,   4,
   359,  42.63,   7.50, 17,-99,-99,     5630099456.0000, 0.12531, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  71,   4,
   360,  44.53,   7.50, 14,-99,-99,    38684356608.0000, 0.29927, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  72,   4,
   361,  46.42,   7.50, 14,-99,-99,    40374853632.0000, 0.43436, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  73,   4,
   362,  48.32,   7.50, 14,-99,-99,    38949937152.0000, 0.63088, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  74,   4,
   363,  50.21,   7.50, 14,-99,-99,    37482426368.0000, 0.86717, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  75,   4,
   364,  52.11,   7.50, 14,-99,-99,    35755749376.0000, 0.85141, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  76,   4,
   365,  54.00,   7.50, 17,-99,-99,    10028325888.0000, 0.30858, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  77,   4,
   366,  55.89,   7.50, 17,-99,-99,     3488690432.0000, 0.22206, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  78,   4,
   367,  57.79,   7.50, 17,-99,-99,     8932859904.0000, 0.20067, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  79,   4,
   368,  59.68,   7.50,  6,-99,-99,    29563697152.0000, 0.17065, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  80,   4,
   369,  61.58,   7.50,  6,-99,-99,    27022016512.0000, 0.11845, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  81,   4,
   370,  63.47,   7.50, 17,-99,-99,     6512431616.0000, 0.08819, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  82,   4,
   395, -71.05,  10.00, 15,-99,-99,    19017377792.0000, 0.00128, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  11,   5,
   396, -69.16,  10.00, 17,-99,-99,     2480204288.0000, 0.00240, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  12,   5,
   430,  -4.74,  10.00, 17,-99,-99,     1675660800.0000, 0.20986, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  46,   5,
   431,  -2.84,  10.00, 17,-99,-99,    25416851456.0000, 0.25531, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  47,   5,
   432,  -0.95,  10.00,  2,-99,-99,    43469713408.0000, 0.25148, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  48,   5,
   433,   0.95,  10.00,  2,-99,-99,    40993177600.0000, 0.31314, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  49,   5,
   434,   2.84,  10.00,  2,-99,-99,    40953217024.0000, 0.52463, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  50,   5,
   435,   4.74,  10.00,  8,-99,-99,    51665408000.0000, 0.48198, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  51,   5,
   436,   6.63,  10.00,  8,-99,-99,    58177298432.0000, 0.47014, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  52,   5,
   437,   8.53,  10.00,  8,-99,-99,    57921855488.0000, 0.32749, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  53,   5,
   438,  10.42,  10.00,  9,-99,-99,    57603076096.0000, 0.19334, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  54,   5,
   439,  12.32,  10.00, 14,-99,-99,    57221304320.0000, 0.13529, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  55,   5,
   440,  14.21,  10.00, 10,-99,-99,    56776970240.0000, 0.08387, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  56,   5,
   441,  16.11,  10.00, 16,-99,-99,    56270544896.0000, 0.03567, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  57,   5,
   442,  18.00,  10.00, 16,-99,-99,    55702589440.0000, 0.02251, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  58,   5,
   443,  19.89,  10.00, 16,-99,-99,    55073726464.0000, 0.01971, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  59,   5,
   444,  21.79,  10.00, 16,-99,-99,    54384635904.0000, 0.01964, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  60,   5,
   445,  23.68,  10.00, 16,-99,-99,    53636083712.0000, 0.01945, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  61,   5,
   446,  25.58,  10.00, 16,-99,-99,    52828876800.0000, 0.01985, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  62,   5,
   447,  27.47,  10.00, 16,-99,-99,    51963904000.0000, 0.01997, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  63,   5,
   448,  29.37,  10.00, 16,-99,-99,    51042107392.0000, 0.02192, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  64,   5,
   449,  31.26,  10.00, 16,-99,-99,    50064498688.0000, 0.02496, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  65,   5,
   450,  33.16,  10.00, 16,-99,-99,    41127514112.0000, 0.03514, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  66,   5,
