ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   366,  55.89,   7.50, 0.56003, 0.14131, 0.29866, 0.10832, 0.22450, 0.42578,
   367,  57.79,   7.50, 0.52781, 0.20059, 0.27160, 0.12217, 0.24633, 0.43915,
   368,  59.68,   7.50, 0.60667, 0.14922, 0.24412, 0.10191, 0.22139, 0.42902,
   369,  61.58,   7.50, 0.60667, 0.14922, 0.24412, 0.10191, 0.22117, 0.42439,
   370,  63.47,   7.50, 0.60667, 0.14922, 0.24412, 0.10191, 0.21995, 0.42629,
   395, -71.05,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   396, -69.16,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   430,  -4.74,  10.00, 0.61676, 0.24899, 0.13425, 0.13507, 0.24325, 0.41279,
   431,  -2.84,  10.00, 0.35873, 0.42245, 0.21882, 0.21632, 0.31235, 0.44653,
   432,  -0.95,  10.00, 0.35873, 0.42245, 0.21882, 0.21632, 0.31232, 0.44647,
   433,   0.95,  10.00, 0.36516, 0.46696, 0.16788, 0.23336, 0.31859, 0.44631,
   434,   2.84,  10.00, 0.36516, 0.46696, 0.16788, 0.23336, 0.31951, 0.44762,
   435,   4.74,  10.00, 0.36882, 0.46108, 0.17010, 0.23137, 0.31760, 0.44650,
   436,   6.63,  10.00, 0.35487, 0.48980, 0.15533, 0.24104, 0.32319, 0.44752,
   437,   8.53,  10.00, 0.52190, 0.31016, 0.16794, 0.16836, 0.26785, 0.42474,
   438,  10.42,  10.00, 0.40627, 0.37523, 0.21850, 0.19851, 0.29542, 0.43916,
   439,  12.32,  10.00, 0.62402, 0.19127, 0.18471, 0.10953, 0.22687, 0.41112,
   440,  14.21,  10.00, 0.88180, 0.08660, 0.03160, 0.08902, 0.16251, 0.37822,
   441,  16.11,  10.00, 0.90000, 0.05000, 0.05000, 0.09622, 0.14622, 0.37589,
   442,  18.00,  10.00, 0.90000, 0.05000, 0.05000, 0.09641, 0.14641, 0.37602,
   443,  19.89,  10.00, 0.28997, 0.15418, 0.55585, 0.15599, 0.25802, 0.45284,
   444,  21.79,  10.00, 0.28997, 0.15418, 0.55585, 0.15599, 0.25794, 0.45273,
   445,  23.68,  10.00, 0.73431, 0.15784, 0.10784, 0.08928, 0.20320, 0.39670,
   446,  25.58,  10.00, 0.73431, 0.15784, 0.10784, 0.08928, 0.20323, 0.39673,
   447,  27.47,  10.00, 0.28637, 0.15379, 0.55984, 0.15682, 0.25839, 0.45326,
   448,  29.37,  10.00, 0.31190, 0.16271, 0.52539, 0.15053, 0.25814, 0.45022,
   449,  31.26,  10.00, 0.90000, 0.05000, 0.05000, 0.09657, 0.14657, 0.37614,
   450,  33.16,  10.00, 0.56647, 0.26569, 0.16784, 0.14546, 0.25311, 0.41812,
   451,  35.05,  10.00, 0.33595, 0.23000, 0.43405, 0.15364, 0.27469, 0.44786,
   452,  36.95,  10.00, 0.34069, 0.28078, 0.37853, 0.16694, 0.28716, 0.44781,
   453,  38.84,  10.00, 0.42788, 0.24585, 0.32627, 0.14726, 0.26750, 0.43735,
   454,  40.74,  10.00, 0.42788, 0.24585, 0.32627, 0.14726, 0.26842, 0.43874,
   455,  42.63,  10.00, 0.48141, 0.27167, 0.24693, 0.15267, 0.26675, 0.43196,
