ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   442,  18.00,  10.00, 0.90000, 0.05000, 0.05000, 0.09702, 0.14702, 0.37744,
   443,  19.89,  10.00, 0.26335, 0.12803, 0.60861, 0.16973, 0.25351, 0.45739,
   444,  21.79,  10.00, 0.26335, 0.12803, 0.60861, 0.16973, 0.25333, 0.45713,
   445,  23.68,  10.00, 0.73047, 0.15976, 0.10976, 0.09011, 0.20484, 0.39827,
   446,  25.58,  10.00, 0.73047, 0.15976, 0.10976, 0.09011, 0.20490, 0.39835,
   447,  27.47,  10.00, 0.25445, 0.12799, 0.61756, 0.17194, 0.25468, 0.45844,
   448,  29.37,  10.00, 0.22624, 0.18517, 0.58860, 0.16737, 0.27805, 0.46236,
   449,  31.26,  10.00, 0.90000, 0.05000, 0.05000, 0.09718, 0.14718, 0.37768,
   450,  33.16,  10.00, 0.56071, 0.26953, 0.16976, 0.14755, 0.25554, 0.42024,
   451,  35.05,  10.00, 0.32147, 0.22381, 0.45472, 0.15438, 0.27643, 0.45134,
   452,  36.95,  10.00, 0.32177, 0.27560, 0.40263, 0.16727, 0.28976, 0.45186,
   453,  38.84,  10.00, 0.40770, 0.24124, 0.35106, 0.14786, 0.26978, 0.44115,
   454,  40.74,  10.00, 0.40770, 0.24124, 0.35106, 0.14786, 0.27039, 0.44213,
   455,  42.63,  10.00, 0.51279, 0.23859, 0.24863, 0.13700, 0.25485, 0.42779,
   456,  44.53,  10.00, 0.48851, 0.20910, 0.30239, 0.12908, 0.25070, 0.43124,
   457,  46.42,  10.00, 0.52071, 0.30953, 0.16976, 0.16808, 0.27042, 0.42720,
   458,  48.32,  10.00, 0.39550, 0.22433, 0.38018, 0.14443, 0.26722, 0.44340,
   459,  50.21,  10.00, 0.51501, 0.20879, 0.27620, 0.12610, 0.24733, 0.42842,
   460,  52.11,  10.00, 0.76335, 0.05965, 0.17700, 0.11724, 0.16724, 0.39802,
   461,  54.00,  10.00, 0.62396, 0.10013, 0.27591, 0.11229, 0.20079, 0.41773,
   462,  55.89,  10.00, 0.56932, 0.13210, 0.29859, 0.10781, 0.21869, 0.42407,
   463,  57.79,  10.00, 0.48693, 0.24385, 0.26922, 0.14117, 0.26218, 0.43490,
   464,  59.68,  10.00, 0.53840, 0.19213, 0.26947, 0.11852, 0.24107, 0.42972,
   465,  61.58,  10.00, 0.60903, 0.12049, 0.27048, 0.10425, 0.21113, 0.42374,
   466,  63.47,  10.00, 0.53840, 0.19213, 0.26947, 0.11852, 0.24077, 0.42872,
   467,  65.37,  10.00, 0.53840, 0.19213, 0.26947, 0.11852, 0.24043, 0.42803,
   474,  78.63,  10.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   491, -71.05,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   492, -69.16,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   518, -19.89,  12.50, 0.60029, 0.19434, 0.20537, 0.11279, 0.23092, 0.41485,
   519, -18.00,  12.50, 0.54943, 0.22490, 0.22567, 0.12863, 0.24556, 0.42132,
   520, -16.11,  12.50, 0.54943, 0.22490, 0.22567, 0.12863, 0.24589, 0.42183,
   521, -14.21,  12.50, 0.29326, 0.33087, 0.37587, 0.18620, 0.30448, 0.45471,
   522, -12.32,  12.50, 0.29326, 0.33087, 0.37587, 0.18620, 0.30466, 0.45498,
   523, -10.42,  12.50, 0.31034, 0.39737, 0.29230, 0.20690, 0.31552, 0.45365,
   524,  -8.53,  12.50, 0.26372, 0.59432, 0.14196, 0.26369, 0.34584, 0.45918,
   525,  -6.63,  12.50, 0.42367, 0.42797, 0.14835, 0.22115, 0.30474, 0.43912,
   526,  -4.74,  12.50, 0.58410, 0.29934, 0.11656, 0.16193, 0.26021, 0.41953,
   527,  -2.84,  12.50, 0.39865, 0.43365, 0.16770, 0.22226, 0.30972, 0.44318,
   528,  -0.95,  12.50, 0.42313, 0.41075, 0.16611, 0.21375, 0.30210, 0.43985,
