npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
1,1,56,365,10,271.30076,33.25054,0,390.44092,0.66501,0,9.52295,106.52976,485.41677,0,0.47621,0.33941,0,263.38409,2110.19658,571.72399,2.75,24.8855,42.06107,0.22962,0.06865,0.05848,0.2117,0.14525,0,0,0,0,-0.0596,0,0,0.0596,0,0,0,0,1,0.22445,0.10274
1,1,57,365,10,275.31328,28.09982,0,312.04493,0.562,0,7.61085,96.80326,484.7985,0,0.47621,0.33941,0,268.17265,2123.7799,572.01097,2.75,24.8855,42.06107,0.19316,0.05852,0.04985,0.16921,0.1161,0,0,0,0,-0.08523,0,0,0.08523,0,0,0,0,1,0.2641,0.07595
1,1,58,365,10,275.11698,33.99667,0,367.63213,0.67993,0,8.96664,72.47674,461.40175,0,0.47621,0.33941,0,263.22132,2142.04517,572.40758,2.75,24.8855,42.06107,0.27902,0.06981,0.05947,0.19936,0.13678,0,0,0,0,-0.09782,0,0,0.09782,0,0,0,0,1,0.26201,0.12385
1,1,59,365,10,274.17873,55.70729,0,531.28572,1.11415,0,12.95819,45.59529,386.53245,0,0.47621,0.33941,0,221.93661,2165.9727,573.13423,2.75,24.8855,42.06107,0.43231,0.11211,0.0955,0.28809,0.19766,0,0,0,0,-0.12434,0,0,0.12434,0,0,0,0,1,0.25223,0.24332
1,1,60,365,10,274.65033,40.36482,0,447.76504,0.8073,0,10.9211,84.07333,406.30844,0,0.47621,0.33941,0,217.47241,2170.52447,573.44764,2.75,24.8855,42.06107,0.23602,0.08324,0.07091,0.2428,0.16659,0,0,0,0,-0.11185,0,0,0.11185,0,0,0,0,1,0.2571,0.10715
1,1,61,365,10,272.86724,67.74991,0,602.63199,1.355,0,14.69834,71.05501,386.29173,0,0.47621,0.33941,0,211.2086,2177.11882,573.9804,2.75,24.8855,42.06107,0.65642,0.13501,0.115,0.32676,0.22419,0,0,0,0,-0.11686,0,0,0.11686,0,0,0,0,1,0.23917,0.34465
1,1,62,365,10,271.95911,60.45891,0,582.98811,1.20918,0,14.21922,76.48219,392.29643,0,0.47621,0.33941,0,214.11386,2181.37844,574.4476,2.75,24.8855,42.06107,1.29322,0.11884,0.10123,0.31611,0.21688,0,0,0,0,-0.09861,0,0,0.09861,0,0,0,0,1,0.23052,0.68134
1,1,63,365,10,271.69435,64.78033,0,556.05496,1.29561,0,13.56232,101.89272,401.15686,0,0.47621,0.33941,0,207.46551,2184.60867,574.90291,2.75,24.8855,42.06107,0.22377,0.1336,0.11381,0.3015,0.20686,0,0,0,0,-0.09028,0,0,0.09028,0,0,0,0,1,0.22806,0.10695
1,1,64,365,10,271.32786,68.85861,0,732.82438,1.37717,0,17.87377,68.11728,371.00565,0,0.47621,0.33941,0,204.2736,2189.84964,575.55861,2.75,24.8855,42.06107,0.62098,0.13709,0.11678,0.39734,0.27262,0,0,0,0,-0.11234,0,0,0.11234,0,0,0,0,1,0.2247,0.35636
1,1,65,365,10,270.0956,60.13461,0,681.85963,1.20269,0,16.63072,87.13898,390.88489,0,0.47621,0.33941,0,210.19414,2190.88583,576.02821,2.75,24.8855,42.06107,1.01135,0.11856,0.10099,0.3697,0.25365,0,0,0,0,-0.08556,0,0,0.08556,0,0,0,0,1,0.21374,0.54949
1,1,66,365,10,275.4132,56.91092,0,665.9787,1.13822,0,16.24338,89.48361,392.66023,0,0.47621,0.33941,0,210.77481,2194.51769,576.54681,2.75,24.8855,42.06107,1.27463,0.09524,0.08113,0.36114,0.24778,0,0,0,0,-0.18433,0,0,0.18433,0,0,0,0,1,0.26518,0.55102
1,1,67,365,10,272.69723,68.04636,0,751.02372,1.36093,0,18.31765,108.72874,399.80635,0,0.47621,0.33941,0,205.72835,2197.38939,577.08374,2.75,24.8855,42.06107,0.63836,0.13632,0.11612,0.40722,0.2794,0,0,0,0,-0.14201,0,0,0.14201,0,0,0,0,1,0.23752,0.28474
