npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
1,1,37,365,10,275.31328,28.09982,0,312.04493,0.562,0,7.61085,157.50607,757.79092,0,0.47621,0.33941,0,418.87735,3957.57797,666.6609,46.2035,300.51078,49.43115,0.18086,0.05852,0.04985,0.16921,0.1161,0,0,0,0,-0.08523,0,0,0.08523,0,0,0,0,1,0.2641,0.04285
1,1,38,365,10,275.11698,33.99667,0,367.63213,0.67993,0,8.96664,124.37062,735.69304,0,0.47621,0.33941,0,419.22953,3966.40004,667.10596,46.2035,300.51078,49.43115,0.2727,0.06981,0.05947,0.19936,0.13678,0,0,0,0,-0.09782,0,0,0.09782,0,0,0,0,1,0.26201,0.07109
1,1,39,365,10,274.17873,55.70729,0,531.28572,1.11415,0,12.95819,72.98856,649.39919,0,0.47621,0.33941,0,380.72272,3978.59706,668.00914,46.2035,300.51078,49.43115,0.44378,0.11211,0.0955,0.28809,0.19766,0,0,0,0,-0.12434,0,0,0.12434,0,0,0,0,1,0.25223,0.14525
1,1,40,365,10,274.65033,40.36482,0,447.76504,0.8073,0,10.9211,120.65306,668.62953,0,0.47621,0.33941,0,369.62804,3979.43058,668.39218,46.2035,300.51078,49.43115,0.21912,0.08324,0.07091,0.2428,0.16659,0,0,0,0,-0.11185,0,0,0.11185,0,0,0,0,1,0.2571,0.06114
1,1,41,365,10,272.86724,67.74991,0,602.63199,1.355,0,14.69834,107.01651,640.24335,0,0.47621,0.33941,0,356.5651,3978.34637,669.07208,46.2035,300.51078,49.43115,0.67186,0.13501,0.115,0.32676,0.22419,0,0,0,0,-0.11686,0,0,0.11686,0,0,0,0,1,0.23917,0.21234
1,1,42,365,10,271.95911,60.45891,0,582.98811,1.20918,0,14.21922,115.8836,640.00846,0,0.47621,0.33941,0,352.71287,3974.9011,669.66276,46.2035,300.51078,49.43115,1.46901,0.11884,0.10123,0.31611,0.21688,0,0,0,0,-0.09861,0,0,0.09861,0,0,0,0,1,0.23052,0.46996
1,1,43,365,10,271.69435,64.78033,0,556.05496,1.29561,0,13.56232,138.57631,641.0799,0,0.47621,0.33941,0,341.92833,3969.83214,670.24343,46.2035,300.51078,49.43115,0.19939,0.1336,0.11381,0.3015,0.20686,0,0,0,0,-0.09028,0,0,0.09028,0,0,0,0,1,0.22806,0.06102
1,1,44,365,10,271.32786,68.85861,0,732.82438,1.37717,0,17.87377,100.22501,599.86371,0,0.47621,0.33941,0,333.73297,3961.00643,671.07434,46.2035,300.51078,49.43115,0.62598,0.13709,0.11678,0.39734,0.27262,0,0,0,0,-0.11234,0,0,0.11234,0,0,0,0,1,0.2247,0.22034
1,1,45,365,10,270.0956,60.13461,0,681.85963,1.20269,0,16.63072,127.97686,616.68062,0,0.47621,0.33941,0,333.1058,3951.90271,671.65116,46.2035,300.51078,49.43115,1.06352,0.11856,0.10099,0.3697,0.25365,0,0,0,0,-0.08556,0,0,0.08556,0,0,0,0,1,0.21374,0.36137
1,1,46,365,10,275.4132,56.91092,0,665.9787,1.13822,0,16.24338,127.55336,613.43045,0,0.47621,0.33941,0,332.43724,3942.87192,672.28534,46.2035,300.51078,49.43115,1.32024,0.09524,0.08113,0.36114,0.24778,0,0,0,0,-0.18433,0,0,0.18433,0,0,0,0,1,0.26518,0.36256
1,1,47,365,10,272.69723,68.04636,0,751.02372,1.36093,0,18.31765,144.87642,615.89388,0,0.47621,0.33941,0,325.75491,3932.71883,672.9406,46.2035,300.51078,49.43115,0.58607,0.13632,0.11612,0.40722,0.2794,0,0,0,0,-0.14201,0,0,0.14201,0,0,0,0,1,0.23752,0.1722
1,1,48,365,10,274.26855,43.89812,0,591.49747,0.87796,0,14.42677,142.35025,645.25258,0,0.47621,0.33941,0,350.64277,3928.3967,673.36487,46.2035,300.51078,49.43115,1.14658,0.08676,0.0739,0.32074,0.22006,0,0,0,0,-0.14018,0,0,0.14018,0,0,0,0,1,0.25315,0.31202
1,1,49,365,10,274.501,66.64203,0,653.9719,1.33284,0,15.95053,168.31498,673.2198,0,0.47621,0.33941,0,356.90256,3926.82413,673.81523,46.2035,300.51078,49.43115,0.19181,0.1185,0.10094,0.35462,0.24331,0,0,0,0,-0.16004,0,0,0.16004,0,0,0,0,1,0.25555,0.04803
1,1,50,365,10,274.86604,66.5167,0,697.64152,1.33033,0,17.01565,179.62833,702.38116,0,0.47621,0.33941,0,371.6513,3927.738,674.32486,46.2035,300.51078,49.43115,0.41743,0.11549,0.09838,0.37831,0.25956,0,0,0,0,-0.17945,0,0,0.17945,0,0,0,0,1,0.25936,0.09891
